pdb,  AF2_multi_1_Fnat,  AF2_multi_5_Fnat,  ADCP_1_Fnat,  ADCP_5_Fnat,  ADCP_30_Fnat,  ADCP_all_Fnat,  AF2_mono_1_Fnat,  AF2_mono_5_Fnat,  OF_1_Fnat, AF2_multi_25_Fnat
1czy,  0.854,  0.854,  0.976,  0.976,  0.976,  0.976,  0.000,  0.000,  0.000,  0.951
1eg4,  0.719,  0.781,  0.531,  0.531,  0.812,  0.875,  0.156,  0.750,  0.562,  0.812
1elw,  0.941,  0.941,  0.853,  0.853,  0.853,  0.941,  0.912,  0.912,  0.000,  0.971
1jd5,  0.622,  0.649,  0.973,  0.973,  0.973,  0.973,  0.676,  0.703,  0.676,  0.649
1jwg,  0.955,  0.955,  0.318,  0.409,  0.591,  0.682,  0.955,  0.955,  0.091,  0.955
1mfg,  0.765,  0.794,  0.118,  0.706,  0.794,  0.941,  0.794,  0.794,  0.029,  0.912
1ntv,  0.913,  0.913,  0.957,  0.957,  0.957,  0.957,  0.891,  0.891,  0.957,  0.913
1rxz,  0.944,  0.963,  0.463,  0.463,  0.500,  0.759,  0.870,  0.944,  0.907,  0.981
1ssh,  0.933,  0.933,  0.100,  0.267,  0.700,  0.867,  0.933,  0.933,  0.933,  0.933
1x2r,  0.907,  0.907,  0.419,  0.791,  0.791,  0.791,  0.023,  0.047,  0.000,  0.907
2a3i,  0.844,  0.844,  0.344,  0.906,  0.906,  0.969,  0.875,  0.875,  0.844,  0.844
2cch,  0.884,  0.953,  0.209,  0.233,  0.442,  0.442,  0.837,  0.860,  0.860,  0.953
1awr,  0.353,  0.353,  0.176,  0.176,  0.294,  0.529,  0.088,  0.206,  0.000,  0.382
1er8,  0.452,  0.452,  0.145,  0.210,  0.742,  0.742,  0.113,  0.403,  0.113,  0.452
1nvr,  0.000,  0.000,  0.600,  0.880,  0.920,  0.920,  0.000,  0.000,  0.000,  0.040
1nx1,  0.925,  0.925,  0.825,  0.900,  0.900,  0.900,  0.750,  0.875,  0.675,  0.975
1ou8,  1.000,  1.000,  0.705,  0.977,  0.977,  0.977,  0.000,  0.341,  0.000,  1.000
1u00,  0.438,  0.438,  0.562,  0.729,  0.729,  0.854,  0.104,  0.188,  0.000,  0.458
2b9h,  0.857,  0.857,  0.265,  0.429,  0.429,  0.449,  0.612,  0.633,  0.020,  0.918
2c3i,  0.769,  0.795,  0.282,  0.282,  0.282,  0.513,  0.000,  0.000,  0.179,  0.821
2ds8,  0.821,  0.821,  0.714,  0.857,  0.964,  0.964,  0.821,  0.821,  0.607,  0.821
2fmf,  0.455,  0.455,  0.409,  0.409,  0.409,  0.636,  0.409,  0.500,  0.591,  0.455
2h9m,  0.222,  0.333,  0.667,  0.667,  0.889,  0.926,  0.000,  0.444,  0.000,  0.370
2hpl,  0.652,  0.826,  0.913,  1.000,  1.000,  1.000,  0.000,  0.000,  0.000,  0.826
2o02,  0.099,  0.296,  0.268,  0.268,  0.324,  0.366,  0.056,  0.155,  0.085,  0.676
3d1e,  0.769,  0.795,  0.897,  0.897,  0.897,  0.897,  0.256,  0.385,  0.179,  0.795
1bjr,  0.228,  0.228,  0.185,  0.185,  0.315,  0.457,  0.207,  0.239,  0.033,  0.239
1d4t,  0.089,  0.393,  0.643,  0.714,  0.911,  0.911,  0.375,  0.375,  0.000,  0.429
1ee5,  0.822,  0.844,  0.022,  0.100,  0.122,  0.167,  0.300,  0.300,  0.000,  0.844
1fiw,  0.900,  0.917,  0.150,  0.417,  0.417,  0.433,  0.417,  0.433,  0.667,  0.917
1ky6,  0.000,  0.000,  0.871,  0.935,  0.935,  1.000,  0.000,  0.065,  0.000,  0.000
1ssc,  0.938,  0.954,  0.123,  0.138,  0.231,  0.385,  0.923,  0.938,  0.938,  0.954
1t3l,  0.909,  0.909,  0.236,  0.745,  0.782,  0.782,  0.927,  0.927,  0.018,  0.927
1t4f,  1.000,  1.000,  0.571,  0.714,  0.786,  0.964,  1.000,  1.000,  0.964,  1.000
1t5z,  0.906,  0.906,  0.344,  1.000,  1.000,  1.000,  0.938,  1.000,  0.875,  0.969
2b1n,  0.393,  0.393,  0.607,  0.964,  0.964,  0.964,  0.000,  0.000,  0.000,  0.286
2cnz,  0.979,  0.990,  0.219,  0.219,  0.260,  0.260,  0.958,  0.979,  0.979,  0.990
2f31,  0.966,  0.966,  0.052,  0.121,  0.466,  0.466,  0.931,  0.931,  0.914,  0.966
2hwl,  0.885,  0.897,  0.161,  0.161,  0.184,  0.184,  0.862,  0.862,  0.414,  0.897
2np0,  0.875,  0.875,  0.950,  0.975,  0.975,  1.000,  0.150,  0.150, -1.000,  0.900
2qos,  0.887,  0.943,  0.151,  0.170,  0.453,  0.528,  0.170,  0.170,  0.000,  0.943
2v8x,  0.929,  0.929,  0.214,  0.357,  0.548,  0.643,  0.929,  0.929,  0.000,  0.929
2xyi,  0.926,  0.926,  0.870,  0.870,  0.907,  0.907,  0.944,  0.944,  0.000,  0.963
2z5n,  0.641,  0.641,  0.172,  0.219,  0.219,  0.328,  0.000,  0.172,  0.000,  0.625
3ask,  0.647,  0.912,  0.029,  0.029,  0.118,  0.265,  0.000,  0.088,  0.000,  0.941
3ayu,  0.117,  0.133,  0.717,  0.933,  0.933,  0.933,  0.133,  0.200,  0.100,  0.617
3brh,  0.200,  0.200,  0.400,  0.533,  0.533,  0.867,  0.000,  0.000,  0.000,  0.233
3c3o,  0.903,  0.935,  0.581,  0.581,  0.839,  0.839,  1.000,  1.000,  0.935,  0.935
3cvl,  0.947,  0.974,  0.368,  0.816,  0.842,  0.842,  0.000,  0.947,  0.000,  0.974
3n2d,  0.000,  0.000,  0.235,  0.235,  0.294,  0.676,  0.000,  0.088,  0.000,  0.088
3n55,  0.849,  0.849,  0.943,  0.943,  0.943,  0.943,  0.943,  0.943,  0.000,  0.925
3n5u,  0.867,  0.867,  0.967,  0.967,  0.967,  0.967,  0.767,  0.833,  0.300,  0.867
3pkn,  0.833,  0.881,  0.071,  0.190,  0.452,  0.690,  0.000,  0.000,  0.881,  0.929
3r42,  0.531,  0.562,  0.156,  0.156,  0.750,  0.906,  0.000,  0.000,  0.000,  0.625
3r7g,  0.964,  0.964,  0.255,  0.255,  0.291,  0.291,  0.945,  0.945,  0.018,  0.964
3rc4,  0.000,  0.032,  0.387,  0.613,  0.968,  0.968,  0.000,  0.000,  0.000,  0.032
3ro3,  0.944,  0.963,  0.852,  0.852,  0.852,  0.852,  0.722,  0.722,  0.833,  0.963
3t6j,  0.468,  0.915,  0.596,  0.596,  0.957,  0.957,  0.000,  0.319,  0.000,  0.936
3vxw,  0.963,  0.963,  0.963,  0.963,  1.000,  1.000,  0.963,  1.000,  0.259,  0.963
3wbn,  0.178,  0.178,  0.178,  0.311,  0.356,  0.356,  0.000,  0.089,  0.000,  0.222
4aph,  0.140,  0.175,  0.105,  0.123,  0.281,  0.754,  0.000,  0.737,  0.000,  0.439
4bta,  0.654,  0.654,  0.731,  0.846,  1.000,  1.000,  0.154,  0.154,  0.962,  0.654
4cu4,  0.046,  0.062,  0.092,  0.108,  0.185,  0.246,  0.000,  0.077,  0.077,  0.062
4cy3,  0.870,  0.870,  0.391,  0.739,  0.739,  0.739,  0.130,  0.370,  0.000,  0.891
4j86,  0.560,  0.600,  0.840,  0.880,  0.880,  0.960,  0.000,  0.000,  0.000,  0.600
4k0u,  0.978,  0.978,  1.000,  1.000,  1.000,  1.000,  0.889,  0.889,  0.956,  0.978
4mn8,  0.230,  0.257,  0.243,  0.243,  0.243,  0.324,  0.014,  0.041,  0.000,  0.365
4piq,  0.921,  0.937,  0.683,  0.873,  0.873,  0.873,  0.937,  0.968,  0.143,  0.952
4rs9,  0.919,  0.946,  0.459,  0.459,  0.811,  0.811,  0.919,  0.946,  0.811,  0.973
4tzm,  0.963,  0.963,  0.926,  0.926,  0.926,  0.926,  0.938,  0.951,  0.000,  0.975
4w50,  0.771,  0.771,  0.229,  0.250,  0.500,  0.500,  0.125,  0.125,  0.000,  0.750
4x3h,  0.420,  0.480,  0.880,  0.880,  0.880,  0.880,  0.400,  0.400,  0.000,  0.940
4xal,  0.111,  0.148,  0.630,  0.963,  0.963,  1.000,  0.000,  0.000,  0.000,  0.259
4xob,  0.907,  0.919,  0.802,  0.802,  0.802,  0.802,  0.953,  0.953,  0.907,  0.919
4z2o,  0.089,  0.133,  0.067,  0.289,  0.911,  0.911,  0.000,  0.000,  0.000,  0.244
5a29,  0.045,  0.061,  0.030,  0.091,  0.288,  0.288,  0.000,  0.000,  0.000,  0.152
5frs,  0.958,  0.979,  0.312,  0.417,  0.438,  0.500,  0.000,  0.000,  0.000,  1.000
5fxc,  0.182,  0.273,  0.545,  0.545,  0.545,  0.955,  0.000,  0.091,  0.000,  0.864
5gr9,  0.182,  0.250,  0.114,  0.159,  0.205,  0.250,  0.000,  0.045,  0.068,  0.795
5jiu,  0.000,  0.000,  0.739,  0.739,  0.826,  0.957,  0.000,  0.000,  0.000,  0.087
5l9b,  0.849,  0.872,  0.186,  0.640,  0.640,  0.663,  0.814,  0.814,  0.093,  0.884
5lm1,  0.971,  0.971,  0.714,  0.800,  0.971,  1.000,  0.943,  0.943,  0.000,  0.971
5n85,  0.500,  0.605,  0.395,  0.500,  0.684,  0.737,  0.684,  0.711,  0.474,  0.632
5njx,  0.909,  0.909,  0.758,  0.909,  0.939,  0.939,  0.000,  0.061,  0.061,  0.909
5onp,  0.842,  0.842,  0.842,  0.842,  0.895,  0.895,  0.500,  0.763,  0.000,  0.842
5vao,  0.886,  0.886,  0.409,  0.409,  0.818,  0.932,  0.864,  0.864,  0.250,  0.886
5wir,  0.641,  0.667,  0.795,  0.795,  0.872,  0.872,  0.641,  0.641,  0.000,  0.641
5y59,  1.000,  1.000,  0.943,  0.943,  0.943,  0.943,  1.000,  1.000,  0.943,  1.000
5yc2,  0.780,  0.805,  0.659,  0.927,  0.951,  0.951,  0.756,  0.878,  0.000,  0.805
6a30,  0.000,  0.000,  0.824,  0.824,  0.824,  0.941,  0.176,  0.765,  0.000,  0.000
6fq4,  0.855,  0.855,  0.091,  0.855,  0.855,  0.909,  0.818,  0.836,  0.800,  0.909
6g86,  0.761,  0.783,  0.196,  0.391,  0.783,  0.826,  0.761,  0.761,  0.783,  0.826
6hgt,  0.941,  1.000,  0.588,  0.588,  0.794,  0.882,  0.000,  0.029,  0.294,  1.000
6j0x,  0.000,  0.105,  0.404,  0.404,  0.421,  0.509,  0.158,  0.561,  0.000,  0.298
6mlc,  0.967,  0.967,  0.167,  0.200,  0.433,  0.433,  0.200,  0.900,  0.000,  0.967
6n3e,  1.000,  1.000,  0.700,  0.767,  0.967,  0.967,  0.933,  0.967,  0.000,  1.000
6pj8,  0.378,  0.378,  0.378,  0.919,  0.919,  0.919,  0.000,  0.000,  0.000,  0.378
6qg8,  0.913,  0.935,  0.891,  0.913,  0.978,  0.978,  0.935,  0.978,  0.957,  0.935
6sa8,  0.108,  0.265,  0.084,  0.361,  0.373,  0.807,  0.000,  0.108,  0.000,  0.265
